Attempt,Algorithm,Length,Time,,,,,,,,,,
8,A*,9,5.00E-05,,,104,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,10,0.00028,,,105,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,11,0.00024,,,,,,,,,,
8,A*,12,3.00E-05,,,,,,,,,,
8,A*,13,1.00E-05,,,,,,,,,,
8,A*,14,0.00015,,,,,,,,,,
8,A*,15,0.00038,,,,,,,,,,
8,A*,16,0.00027,,,,,,,,,,
8,A*,17,1.00E-05,,,,,,,,,,
9,A*,3,8.00E-05,,,,,,,,,,
9,A*,4,6.00E-05,,,,,,,,,,
9,A*,5,0.00023,,,,,,,,,,
9,A*,6,0.00034,,,,,,,,,,
9,A*,7,0.00021,,,,,,,,,,
9,A*,8,8.00E-05,,,,,,,,,,
9,A*,9,0.00021,,,,,,,,,,
9,A*,10,0.00025,,,,,,,,,,
9,A*,11,0.00067,,,,,,,,,,
9,A*,12,0.00016,,,,,,,,,,
9,A*,13,3.00E-05,,,,,,,,,,
9,A*,14,7.00E-05,,,,,,,,,,
9,A*,15,0.00016,,,,,,,,,,
9,A*,16,8.00E-05,,,,,,,,,,
9,A*,17,0.00015,,,,,,,,,,
9,A*,18,0.00012,,,,,,,,,,
10,A*,3,6.00E-05,,,,,,,,,,
10,A*,4,8.00E-05,,,,,,,,,,
10,A*,5,0.00033,,,,,,,,,,
10,A*,6,7.00E-05,,,,,,,,,,
10,A*,7,1.00E-05,,,,,,,,,,
10,A*,8,0.00011,,,,,,,,,,
10,A*,9,0.00031,,,,,,,,,,
10,A*,10,0.00034,,,,,,,,,,
10,A*,11,0.0006,,,,,,,,,,
10,A*,12,3.00E-05,,,,,,,,,,
10,A*,13,0.00034,,,,,,,,,,
11,A*,3,0.00014,,,,,,,,,,
11,A*,4,0.00015,,,,,,,,,,
11,A*,5,0.00037,,,,,,,,,,
11,A*,6,0.00023,,,,,,,,,,
11,A*,7,0.00058,,,,,,,,,,
11,A*,8,0.00082,,,,,,,,,,
11,A*,9,0.00022,,,,,,,,,,
11,A*,10,0.0005,,,,,,,,,,
11,A*,11,0.00022,,,,,,,,,,
11,A*,12,0.00015,,,,,,,,,,
11,A*,13,0.00041,,,,,,,,,,
11,A*,14,0.00024,,,,,,,,,,
11,A*,15,0.00041,,,,,,,,,,
11,A*,16,0.00011,,,,,,,,,,
11,A*,17,0.00016,,,,,,,,,,
12,A*,3,0.0001,,,,,,,,,,
12,A*,4,0.00019,,,,,,,,,,
12,A*,5,0.0005,,,,,,,,,,
12,A*,6,0.00015,,,,,,,,,,
12,A*,7,4.00E-05,,,,,,,,,,
13,A*,3,0.0001,,,,,,,,,,
13,A*,4,0.00011,,,,,,,,,,
13,A*,5,0.00015,,,,,,,,,,
13,A*,6,0.00049,,,,,,,,,,
13,A*,7,0.00087,,,,,,,,,,
13,A*,8,0.00012,,,,,,,,,,
13,A*,9,0.00031,,,,,,,,,,
13,A*,10,0.00046,,,,,,,,,,
13,A*,11,0.00035,,,,,,,,,,
