Attempt,Algorithm,Length,Time
19,A*,34,0.00215
19,A*,35,0.00046
19,A*,36,0.00084
19,A*,37,0.00045
19,A*,38,0.00171
19,A*,39,0.00562
19,A*,40,0.00028
19,A*,41,0.00114
19,A*,42,0.01002
19,A*,43,0.00059
19,A*,44,0.00397
19,A*,45,0.00404
19,A*,46,0.00102
19,A*,47,0.01321
19,A*,48,0.00214
19,A*,49,0.00078
19,A*,50,0.00146
19,A*,51,0.00048
19,A*,52,0.01277
19,A*,53,0.00537
19,A*,54,0.00617
19,A*,55,0.00039
19,A*,56,0.01687
19,A*,57,0.00053
20,A*,3,0.00027
20,A*,4,0.00531
20,A*,5,0.00236
20,A*,6,0.00048
20,A*,7,0.0009
20,A*,8,0.00141
20,A*,9,0.00204
20,A*,10,0.00049
20,A*,11,8.00E-05
20,A*,12,0.00473
20,A*,13,0.00245
20,A*,14,0.00048
20,A*,15,0.00806
20,A*,16,0.00292
20,A*,17,0.00384
20,A*,18,0.00972
20,A*,19,0.00058
20,A*,20,0.00144
20,A*,21,0.01138
20,A*,22,0.01183
20,A*,23,0.00154
20,A*,24,0.00074
20,A*,25,0.00103
20,A*,26,0.00178
20,A*,27,0.00196
20,A*,28,0.01318
20,A*,29,0.00218
20,A*,30,0.00672
20,A*,31,0.00347
20,A*,32,0.00234
20,A*,33,0.00047
20,A*,34,0.00035
20,A*,35,0.00356
20,A*,36,0.00152
20,A*,37,0.00055
20,A*,38,0.00082
20,A*,39,0.00237
20,A*,40,0.0125
20,A*,41,0.00098
20,A*,42,0.0134
20,A*,43,0.00808
20,A*,44,0.00052
20,A*,45,0.00455
20,A*,46,0.00024
20,A*,47,0.00016
20,A*,48,0.00521
20,A*,49,0.00123
20,A*,50,0.00047
20,A*,51,0.03951
20,A*,52,0.00206
20,A*,53,0.0003
20,A*,54,0.01402
20,A*,55,0.00147
20,A*,56,0.00164
20,A*,57,0.003
20,A*,58,0.00127
20,A*,59,0.00333
20,A*,60,9.00E-05
20,A*,61,0.00056
20,A*,62,0.00018
20,A*,63,0.00185
20,A*,64,0.006
20,A*,65,0.00219
20,A*,66,0.00022
20,A*,67,0.00158
20,A*,68,0.00145
20,A*,69,0.00017
20,A*,70,0.00059
20,A*,71,0.00182
20,A*,72,0.00382
20,A*,73,0.01218
20,A*,74,0.00034
20,A*,75,0.0018
20,A*,76,0.0069
20,A*,77,0.00287
20,A*,78,0.00167
20,A*,79,0.00057
20,A*,80,0.00205
20,A*,81,0.00082
20,A*,82,0.0056
20,A*,83,0.00094
20,A*,84,0.00093
20,A*,85,0.00241
20,A*,86,0.00036
20,A*,87,0.00104
20,A*,88,0.00955
20,A*,89,0.00023
20,A*,90,0.02728
20,A*,91,3.00E-05
20,A*,92,0.00283
20,A*,93,0.00367
20,A*,94,0.00045
21,A*,3,0.00016
21,A*,4,0.00883
21,A*,5,0.00431
21,A*,6,0.00331
21,A*,7,0.00522
21,A*,8,0.00251
21,A*,9,0.00185
21,A*,10,0.00242
21,A*,11,0.00083
21,A*,12,0.00017
21,A*,13,0.00377
21,A*,14,0.00385
21,A*,15,0.00044
21,A*,16,0.00202
21,A*,17,0.00041
21,A*,18,0.00095
21,A*,19,0.00268
21,A*,20,0.00109
21,A*,21,0.00205
21,A*,22,3.00E-05
21,A*,23,0.00079
21,A*,24,0.00034
21,A*,25,0.00024
21,A*,26,0.00523
21,A*,27,0.00096
21,A*,28,0.00121
21,A*,29,0.00102
21,A*,30,0.00177
21,A*,31,0.00404
21,A*,32,0.00043
21,A*,33,0.00046
21,A*,34,0.0016
21,A*,35,0.00269
21,A*,36,0.00166
21,A*,37,0.0001
21,A*,38,0.00081
21,A*,39,0.00117
21,A*,40,0.00806
21,A*,41,0.00015
21,A*,42,0.00259
21,A*,43,0.00076
21,A*,44,0.00027
21,A*,45,0.00102
21,A*,46,0.00257
21,A*,47,0.00217
21,A*,48,0.00075
21,A*,49,0.00049
21,A*,50,0.01654
21,A*,51,0.00039
21,A*,52,0.0014
21,A*,53,0.00018
21,A*,54,0.0036
21,A*,55,0.00276
21,A*,56,0.00491
21,A*,57,0.00067
21,A*,58,0.0017
21,A*,59,0.01289
21,A*,60,0.00653
21,A*,61,0.0004
22,A*,3,0.00032
22,A*,4,0.00042
22,A*,5,0.00525
22,A*,6,0.00826
22,A*,7,0.02328
22,A*,8,0.00236
22,A*,9,0.0011
22,A*,10,0.00907
22,A*,11,0.00318
22,A*,12,0.0013
22,A*,13,0.015
22,A*,14,0.0008
22,A*,15,0.01075
22,A*,16,0.002
22,A*,17,0.00028
22,A*,18,0.00137
22,A*,19,0.0007
22,A*,20,0.00436
22,A*,21,0.0014
22,A*,22,0.00051
22,A*,23,0.00069
22,A*,24,0.00132
22,A*,25,0.00131
22,A*,26,0.00301
22,A*,27,0.00079
22,A*,28,0.01329
22,A*,29,0.00278
22,A*,30,0.00046
22,A*,31,0.00022
22,A*,32,0.00111
22,A*,33,0.00259
22,A*,34,0.00099
22,A*,35,0.00214
22,A*,36,6.00E-05
22,A*,37,0.00398
22,A*,38,0.00914
22,A*,39,0.00012
22,A*,40,0.00238
